datum,firma,stelle,kategorie,region
2026-01-08,Brunel,Softwareentwickler C# / JavaScript (m/w/d),Softwareentwicklung / IT,Regensburg
2026-01-09,HiQ,Fullstack Software Engineer (m/w/d) – ASP.NET Core,Softwareentwicklung / IT,Regensburg
2026-01-28,GUS,Softwareentwicklerin – ERP-Umfeld,Softwareentwicklung / IT,Köln
2026-01-28,Nexis,Software Tester (m/w/d),Softwareentwicklung / IT,Regensburg
2026-02-04,n-komm,(Junior) Softwareentwicklerin Lagerlogistik (m/w/d),Softwareentwicklung / IT,Karlsruhe
2026-02-05,RIS,Fachinformatikerin Anwendungsentwicklung,Softwareentwicklung / IT,Regensburg
2026-02-05,SYSTEMA,Softwareentwicklerin (m/w/d),Softwareentwicklung / IT,Regensburg
2026-02-05,FERCHAU,Softwareentwicklerin (m/w/d) – Kennziffer ID59-28965-R,Softwareentwicklung / IT,Regensburg
2026-02-05,InCore,Umschulung Fachinformatikerin Anwendungsentwicklung,Umschulung / Ausbildung,Regensburg
2026-02-27,GEVAS,Softwareentwicklerin – Standort Regensburg,Softwareentwicklung / IT,München
2026-03-11,Klärwerk,Informatiker (m/w/d) im Klärwerk – Stellen-Nr. 65-12:3714,Softwareentwicklung / IT,Regensburg
2026-03-16,IVU,Softwareentwicklerin Backend (C# / .NET),Softwareentwicklung / IT,Berlin
2026-03-16,Syskron,Agile Softwareentwicklerin (m/w/d),Softwareentwicklung / IT,Wackersdorf
2026-03-20,Neumeier,Full Stack Developer (m/w/d),Softwareentwicklung / IT,Regensburg
2026-03-20,sixaAG,Customer Care Mitarbeiterin (Quereinsteigerin),Quereinstieg,Zürich
2026-03-26,ETA,Position über ETA Personal GmbH,Sonstige,Heilbronn
2026-03-26,Nexis,Software Tester (m/w/d),Softwareentwicklung / IT,Regensburg
2026-04-25,Schapfl,Softwareentwicklerin (C# / .NET),Softwareentwicklung / IT,Straubing
2026-04-25,APIS,Softwareentwicklerin – C# / .NET / REST,Softwareentwicklung / IT,Wörth a.d. Donau
2026-04-25,ILS-Industrie,Softwareentwicklerin (C# / .NET),Softwareentwicklung / IT,Regensburg
2026-04-25,Duvenbeck,Softwareentwicklerin (C# / .NET),Softwareentwicklung / IT,Regensburg
2026-04-27,Rodday,Softwareentwicklerin C# / .NET,Softwareentwicklung / IT,(noch zu recherchieren)
2026-04-27,CADOSYS,Softwareentwicklerin (C# / .NET),Softwareentwicklung / IT,Langenfeld
2026-04-27,MEDIFOX,C# / .NET Backend Developerin,Softwareentwicklung / IT,Hildesheim
2026-04-27,Harris,Softwareentwicklerin Datenmigration,Softwareentwicklung / IT,Regensburg
2026-04-30,ibi systems GmbH,Backend Entwickler C# / .NET,Softwareentwicklung / IT,Regensburg
2026-05-01,INSYS,Backend Entwickler (m/w/d) – Referenzcode 200-01-26,Softwareentwicklung / IT,Regensburg
2026-05-01,CALConsult,Fullstack Engineer (.NET) – Remote,Softwareentwicklung / IT,Versmold
2026-05-03,Hypoport,C# Backend Entwickler / .NET (m/w/d) – Remote,Softwareentwicklung / IT,Regensburg
2026-05-03,FNTIO,NET Developer (Backend) – Remote,Softwareentwicklung / IT,Regensburg
2026-05-04,Alphatrail,Supply Chain Management – Trainee Programm,Trainee,Regensburg
2026-05-05,Motus,ERP Software Support Specialist (m/w/d),Softwareentwicklung / IT,Regensburg
2026-05-05,Sparda-Bank,Mitarbeiter Digitales Banking & Online-Banking Support (m/w/d),Sonstige,Regensburg
2026-05-05,Akkodis,Großraum Regensburg – Softwareentwicklung / IT / Data,Softwareentwicklung / IT,Regensburg
2026-05-07,eWorks,C#-Entwicklerin,Softwareentwicklung / IT,Frankfurt am Main
2026-05-11,Brunel,SPS-Programmiererin mit Erfahrung im Siemens-Umfeld,Softwareentwicklung / IT,Regensburg
2026-05-11,Aide,Entwickler (m/w/d) im Bereich Automatisierungstechnik / Simulation,Softwareentwicklung / IT,Regensburg
2026-05-12,Reinhausen,Softwareentwicklerin für eine Prüfplattform (m/w/d),Softwareentwicklung / IT,Regensburg
2026-05-14,GEFASOFT,Softwareentwicklerin C# / .NET (m/w/d),Softwareentwicklung / IT,Regensburg
2026-05-14,Rockstardevelopers,Webentwickler / Frontend oder Fullstack,Softwareentwicklung / IT,Regensburg
2026-05-14,officepeople,Software Tester (m/w/d),Softwareentwicklung / IT,Regensburg
2026-05-15,SOG,Software Tester (m/w/d),Softwareentwicklung / IT,Regensburg
2026-05-15,Skalbach,Anwendungsentwickler C# (m/w/d),Softwareentwicklung / IT,Stuttgart
2026-05-15,PassionforPeople,KI Plattform Developer / Big Data (m/w/d),Softwareentwicklung / IT,Stuttgart
2026-05-16,OPTITOOL,Trainee / Umschülerin im Bereich Anwendungsentwicklung (m/w/d),Trainee,Regensburg
